Name,Cost,Cost per Click,Leads,Cost per Lead,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,ROAS,Profit,Ad Set ID,Category ID,Account ID
SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 10-28-2025,59423.44,3.06,1547,38.41,1241,47.88,429,138.52,87,683.03,187,317.77,71,836.95,115292.80,1.94,55869.36,120238257403750350,120238257403760350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 12-01-2025,37218.80,3.86,762,48.84,607,61.32,338,110.11,31,1200.61,67,555.50,35,1063.39,58276.94,1.57,21058.14,120239686804850350,120239686804860350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 12-01-2025,13615.11,5.31,277,49.15,221,61.61,131,103.93,12,1134.59,32,425.47,19,716.58,30556.40,2.24,16941.29,120239686804850350,120239686804860350,1400488071021805
SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 11-10-2025,6752.45,1.12,107,63.11,89,75.87,28,241.16,14,482.32,7,964.64,7,964.64,25995.09,3.85,19242.64,120239080810830350,120239080810890350,1400488071021805
SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 01-18-2026,11431.31,3.16,261,43.80,217,52.68,70,163.30,7,1633.04,21,544.35,10,1143.13,17506.20,1.53,6074.89,120242962273340350,120242962273380350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-22-2025,3248.11,2.25,77,42.18,64,50.75,9,360.90,7,464.02,2,1624.06,12,270.68,17346.75,5.34,14098.64,120236168195450350,120236168195430350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025,10720.07,6.42,218,49.17,175,61.26,93,115.27,14,765.72,27,397.04,13,824.62,17325.94,1.62,6605.87,120235723649560350,120235716942630350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 10-23-2025,8423.51,3.45,125,67.39,106,79.47,22,382.89,8,1052.94,16,526.47,5,1684.70,13703.98,1.63,5280.47,120237896182700350,120237896182690350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 12-01-2025,10914.70,7.55,191,57.15,151,72.28,144,75.80,17,642.04,14,779.62,10,1091.47,11009.17,1.01,94.47,120239686804850350,120239686804860350,1400488071021805
Done For You - Problem-Solution Lead 5 - CID2V10TCW | CHK1_SaveUpTo50 | CB1_Savings | 02-23-2026,2857.62,7.92,45,63.50,40,71.44,36,79.38,5,571.52,8,357.20,4,714.41,8089.34,2.83,5231.72,120244295519780350,120244295519740350,1400488071021805
SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 01-25-2026,2911.48,3.09,92,31.65,68,42.82,32,90.98,1,2911.48,7,415.93,5,582.30,7474.78,2.57,4563.30,120243177643490350,120243177643310350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK7_CrossCountry | CB5_LongDistanceMoves | 2-2-2026,1205.67,2.37,29,41.57,23,52.42,24,50.24,-,0,4,301.42,2,602.84,7288,6.04,6082.33,120243426340970350,120235716942630350,1400488071021805
SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 12-10-2025,4411.92,5.74,101,43.68,81,54.47,27,163.40,3,1470.64,12,367.66,4,1102.98,7066.30,1.60,2654.38,120241076857440350,120235716942630350,1400488071021805
