Timeline,Date,Spend,Impressions,CPM,Reach,Clicks (all),CTR (all),CPC (all),Clicks (link),CTR (link),CPC (link),Leads,CPL,New Leads,CPNL,Raw Calls ,CPCall,Connected Calls,CPConnected,Connected %,Sales - Book Date,CPA - Book Date,Lead To Close %,Raw Call Close %,Connected Call to Close %,Cash - Book Date,Cash ROAS - Book Date,Sales - Open Date,CPA - Open Date,Cash - Open Date,Cash ROAS - Open Date,
,CURRENT,"$550,418.91","14,144,444",$38.91,"9,325,903","364,833",3.91%,$1.51,"61,538",0.66%,$8.94,"7,688",$71.59,"8,102",$67.94,"2,214",$248.61,"1,446",$380.65,65.31%,520,"$1,058.50",6.76%,23.49%,35.96%,"$870,982.00",1.58,494,"$1,114.21","$856,488.01",1.56,"$1,674.97"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,"September 15, 2025",$54.69,"1,192",$45.88,"1,112",23,2.07%,$2.38,14,1.26%,$3.91,2,$27.35,2,$27.35,0,#DIV/0!,0,#DIV/0!,#DIV/0!,0,#DIV/0!,0.00%,#DIV/0!,#DIV/0!,$0.00,0.00,0,#DIV/0!,$0.00,0.00,930.54
Tuesday,"September 16, 2025",$570.32,"11,465",$49.74,"8,235",255,3.10%,$2.24,100,1.21%,$5.70,16,$35.65,16,$35.65,5,$114.06,2,$285.16,40.00%,0,#DIV/0!,0.00%,0.00%,0.00%,$0.00,0.00,1,$570.32,"$1,272.65",2.23,316.38
Wednesday,"September 17, 2025",$946.67,"18,000",$52.59,"12,481",445,3.57%,$2.13,165,1.32%,$5.74,37,$25.59,39,$24.27,3,$315.56,2,$473.34,66.67%,2,$473.34,5.41%,66.67%,100.00%,"$2,166.65",2.29,3,$315.56,"$3,603.22",3.81,
Thursday,"September 18, 2025",$861.76,"17,660",$48.80,"12,420",408,3.29%,$2.11,134,1.08%,$6.43,17,$50.69,18,$47.88,2,$430.88,2,$430.88,100.00%,0,#DIV/0!,0.00%,0.00%,0.00%,$0.00,0.00,1,$861.76,$800.00,0.93,
Friday,"September 19, 2025",$834.46,"15,781",$52.88,"11,218",375,3.34%,$2.23,150,1.34%,$5.56,26,$32.09,24,$34.77,9,$92.72,8,$104.31,88.89%,1,$834.46,3.85%,11.11%,12.50%,"$1,394.56",1.67,1,$834.46,"$1,394.56",1.67,
Saturday,"September 20, 2025",$754.11,"16,047",$46.99,"11,926",355,2.98%,$2.12,148,1.24%,$5.10,16,$47.13,16,$47.13,5,$150.82,4,$188.53,80.00%,1,$754.11,6.25%,20.00%,25.00%,"$1,775.00",2.35,1,$754.11,"$1,050.00",1.39,
Sunday,"September 21, 2025",$878.54,"18,656",$47.09,"12,839",415,3.23%,$2.12,171,1.33%,$5.14,19,$46.24,24,$36.61,3,$292.85,3,$292.85,100.00%,0,#DIV/0!,0.00%,0.00%,0.00%,$0.00,0.00,1,$878.54,"$1,201.61",1.37,
Monday,"September 22, 2025","$1,123.48","26,410",$42.54,"17,707",768,4.34%,$1.46,237,1.34%,$4.74,40,$28.09,25,$44.94,4,$280.87,3,$374.49,75.00%,4,$280.87,10.00%,100.00%,133.33%,"$4,328.99",3.85,4,$280.87,"$3,967.38",3.53,
