"Ad name","Amount spent (USD)",Impressions,"Clicks (all)","Link clicks","Reporting starts","Reporting ends"
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 10-28-2025",59432.41,1611187,31646,19452,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 12-01-2025",37254.08,841319,15760,9729,2025-09-15,2026-03-03
"SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 12-01-2025",13621.82,330970,4329,2578,2025-09-15,2026-03-03
"SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 01-18-2026",11431.97,372812,6856,3614,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 12-01-2025",10926.5,160284,2166,1456,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",10727.77,145042,2417,1676,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 10-13-2025",10242.95,329727,6764,3733,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 10-23-2025",8424.55,238716,4254,2440,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 12-01-2025 - Related Media",7545.01,174283,4504,2429,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 02-15-2026",6939.23,230318,3086,1572,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 11-10-2025",6752.49,102321,6070,6047,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-4-2026",6061.16,205450,3386,1333,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 02-18-2026",4898.87,88013,1009,707,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-22-2025",4881.37,134194,4279,1720,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | Related Media | 1-26-2026",4817.8,198215,22202,24776,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 12-10-2025",4411.94,112806,1403,769,2025-09-15,2026-03-03
"SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 01-27-2026",4371.33,138531,2726,1403,2025-09-15,2026-03-03
"Hook2 | TruckMovingUSA | CHK2_StartingAt1597 | CB3_CostSavings | 10-16-2025",3846.85,93932,2541,1283,2025-09-15,2026-03-03
"SC4_CityPrices | SV6_TruckFreeway | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",3799.04,43074,879,436,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 02-15-2026",3587.31,135107,1909,1371,2025-09-15,2026-03-03
"SC65_YouMovingStressHandled | SV27_EmptySpace | CHK1_SaveUpTo50 | CB1_Savings | 1-22-2026",3528.48,76357,952,581,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 1-11-2026",3454.64,136296,2086,787,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-22-2025",3248.11,95056,1983,1445,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 1-26-2026",3152.46,96608,7987,7883,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 1-11-2026",2939.01,66953,1588,1009,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 01-25-2026",2911.68,90420,1884,942,2025-09-15,2026-03-03
"Done For You - Problem-Solution Lead 5 - CID2V10TCW | CHK1_SaveUpTo50 | CB1_Savings | 02-23-2026",2891.08,29499,643,386,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV2_TruckSide2 | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",2813.12,41594,500,349,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 01-26-2026",2771.7,109401,17831,20010,2025-09-15,2026-03-03
"SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",2768.52,26743,562,328,2025-09-15,2026-03-03
"SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 01-26-2026",2720.7,121260,19602,22860,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026",2659.72,42129,935,583,2025-09-15,2026-03-03
"SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 02-11-2026",2655.78,295504,3466,3285,2025-09-15,2026-03-03
"SC12_FinalCheck _ SV8_Gmail_Dark | CHK4_WeGotYouCovered | CB2_StressFree | 10-14-2025",2622.81,68482,1361,941,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV2_TruckSide2 | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",2578.9,31391,399,241,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 02-15-2026",2566.99,96049,1110,648,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-22-2025",2527.29,69266,2885,1048,2025-09-15,2026-03-03
"Hook2 | TruckMovingUSA | CHK2_StartingAt1597 | CB3_CostSavings | 12-01-2025",2479.57,54945,2168,1618,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",2416.69,56189,815,485,2025-09-15,2026-03-03
