Launch Date,Status,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue,REV ROAS,Impressions,3 Sec Views,Video Plays at 25%,Video Plays at 50%,Video Plays at 75%,Video Plays at 100%,ThruPlays,Clicks,LP Views,Leads,Applications,Qualified Applications,Booked Calls,Shown Calls,Closes,Cash Collected,Revenue
1/5/2025,Winner,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2025,On the fence,CHK1_SaveUpTo50 | CB1_Savings,"$60,130.22","1,089",$55.22,822,$73.15,471,$127.67,81,$742.35,93,$646.56,36,"$1,670.28","$64,962.01","$1,804.50",1.08,"$4,831.79",1.74%,1.26%,$51.88,"1,159,034","20,162","14,595",,,,,,,,,,,,,,,,,,,,,
9/15/2025,Winner,CHK2_StartingAt1597 | CB1_Savings,"$34,228.55",647,$52.90,502,$68.18,218,$157.01,57,$600.50,65,$526.59,31,"$1,104.15","$45,022.76","$1,452.35",1.32,"$10,794.21",1.57%,1.11%,$38.12,"897,984","14,122","9,954",,,,,,,,,,,,,,,,,,,,,
9/15/2025,On the fence,CHK3_StressFreeLongDistance | CB2_StressFree,"$53,803.43","1,138",$47.28,854,$63.00,250,$215.21,102,$527.48,93,$578.53,38,"$1,415.88","$58,863.28","$1,549.03",1.09,"$5,059.85",2.25%,1.61%,$42.34,"1,270,856","28,585","20,492",,,,,,,,,,,,,,,,,,,,,
9/15/2025,Testing,CHK1_SaveUpTo50 | CB2_StressFree,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/15/2025,On the fence,CHK2_StartingAt1597 | CB3_CostSavings,"$115,307.17","2,093",$55.09,"1,674",$68.88,687,$167.84,173,$666.52,172,$670.39,89,"$1,295.59","$136,478.64","$1,533.47",1.18,"$21,171.47",2.67%,1.58%,$46.81,"2,463,412","65,739","38,812",,,,,,,,,,,,,,,,,,,,,
9/15/2025,Testing,CHK4_UpTo50Off | CB3_CostSavings,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
12/9/2025,Seasonal,CHK5_HolidayMoves$1597 | CB4_HolidayDirect,"$4,514.72",98,$46.07,59,$76.52,24,$188.11,6,$752.45,8,$564.34,3,"$1,504.91","$2,441.98",$813.99,0.54,"-$2,072.74",3.00%,2.11%,$55.67,"81,100","2,431","1,709",,,,,,,,,,,,,,,,,,,,,
,Loser,CHK6_CheckRate | CB3_CostSavings,"$23,454.36",424,$55.32,321,$73.07,214,$109.60,56,$418.83,41,$572.06,13,"$1,804.18","$27,694.47","$2,130.34",1.18,"$4,240.11",4.72%,4.64%,$34.15,"686,866","32,433","31,853",,,,,,,,,,,,,,,,,,,,,
2/2/2026,Testing,CHK7_CrossCountry | CB5_LongDistanceMoves,$949.34,23,$41.28,19,$49.97,18,$52.74,0,#DIV/0!,2,$474.67,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$949.34,2.21%,1.71%,$44.20,"21,478",474,368,,,,,,,,,,,,,,,,,,,,,
2/2/2026,On the fence,CHK8_SaveOnNationwide | CB5_LongDistanceMoves,"$2,452.21",70,$35.03,47,$52.17,55,$44.59,8,$306.53,8,$306.53,1,"$2,452.21","$1,541.98","$1,541.98",0.63,-$910.23,2.12%,1.79%,$38.25,"64,103","1,359","1,148",,,,,,,,,,,,,,,,,,,,,
