Launch Date,Status,,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue
1/5/2025,Winner,,SC1_9t5 | SV1_beach1,"$10,000.00",#REF!,#REF!,,,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,"100,000","1,000",900,200,100,48,25,15,5,"$15,000.00","$25,000.00"
9/15/2025,Loser,,SC1_LongDistance1597 | SV1_TruckSide,"$2,537.50",46,$55.16,38,$66.78,10,$253.75,6,$422.92,2,"$1,268.75",0,#DIV/0!,$0.00,#DIV/0!,0.00,"-$2,537.50",1.49%,1.02%,$82.97,"30,584",455,311,,,
9/15/2025,Loser,,SC1_LongDistance1597 | SV2_TruckSide2,"$7,863.78",166,$47.37,122,$64.46,42,$187.23,17,$462.58,9,$873.75,3,"$2,621.26","$5,491.96","$1,830.65",0.70,"-$2,371.82",1.32%,0.90%,$71.08,"110,628","1,456",991,,,
9/15/2025,Winner,,SC1_LongDistance1597 | SV3_TruckBack,"$42,694.17",773,$55.23,630,$67.77,347,$123.04,51,$837.14,76,$561.77,39,"$1,094.72","$57,723.21","$1,480.08",1.35,"$15,029.04",2.01%,1.38%,$65.95,"647,406","13,020","8,944",,,
9/15/2025,Loser,,SC2_WellMoveEverything | SV4_AppleNoteButtonCTA,"$2,603.54",48,$54.24,37,$70.37,4,$650.89,4,$650.89,2,"$1,301.77",1,"$2,603.54",$0.00,$0.00,0.00,"-$2,603.54",1.36%,0.86%,$52.57,"49,528",674,427,,,
9/15/2025,Loser,,SC2_WellMoveEverything | SV5_AppleNoteLinkCTA,"$4,653.14",71,$65.54,48,$96.94,11,$423.01,4,"$1,163.29",2,"$2,326.57",2,"$2,326.57","$2,932.94","$1,466.47",0.63,"-$1,720.20",1.35%,0.85%,$46.77,"99,494","1,340",843,,,
9/15/2025,Loser,,SC3_WhyPayMore | SV4_AppleNoteButtonCTA,"$2,530.68",38,$66.60,21,$120.51,3,$843.56,2,"$1,265.34",1,"$2,530.68",1,"$2,530.68","$1,528.00","$1,528.00",0.60,"-$1,002.68",1.57%,1.08%,$74.03,"34,185",537,368,,,
9/15/2025,Loser,,SC3_WhyPayMore | SV5_AppleNoteLinkCTA,"$2,266.21",29,$78.15,23,$98.53,3,$755.40,2,"$1,133.11",1,"$2,266.21",1,"$2,266.21",$846.38,$846.38,0.37,"-$1,419.83",1.46%,1.00%,$61.84,"36,647",535,367,,,
9/15/2025,Winner,,SC4_CityPrices | SV6_TruckFreeway,"$10,943.02",219,$49.97,173,$63.25,74,$147.88,35,$312.66,16,$683.94,7,"$1,563.29","$10,301.76","$1,471.68",0.94,-$641.26,3.10%,2.73%,$57.21,"191,290","5,937","5,213",,,
9/15/2025,Winner,,SC5_MovingChecklist | SV7_AppleNote,"$12,724.72",206,$61.77,141,$90.25,43,$295.92,20,$636.24,13,$978.82,9,"$1,413.86","$17,205.18","$1,911.69",1.35,"$4,480.46",1.57%,0.88%,$34.32,"370,794","5,810","3,281",,,
