Launch Date,Status,Active/Fatigued,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue,REV ROAS,Impressions,3 Sec Views,Video Plays at 25%,Video Plays at 50%,Video Plays at 75%,Video Plays at 100%,ThruPlays,Clicks,LP Views,Leads,Applications,Qualified Applications,Booked Calls,Shown Calls,Closes,Cash Collected,Revenue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2025,Testing,,VHK1_MovingNoStress | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/8/2025,Testing,,VHK2_OOStateNoStress | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/8/2025,Testing,,VHK3_FinallySimple | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/8/2025,Testing,,VHK4_DontPayMore | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,,VHK5_WhyPayMore | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK6_FloridatoTexas | VB2_BudgetMoveQuote | VV2_ChatGPT,$53.36,1,$53.36,1,$53.36,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$53.36,4.53%,4.75%,$57.56,927,42,44,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK7_AffordableMoving | VB3_VAMQuote | VV2_ChatGPT,$196.29,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$196.29,2.62%,2.37%,$81.72,"2,402",63,57,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK8_CrossCountryMove | VB4_FairPriceQuote | VV2_ChatGPT,$115.74,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$115.74,3.78%,3.08%,$80.94,"1,430",54,44,,,,,,,,,,,,,,,,,,,,,
,,,VHK9_MovingLongDistance? | VB1_NoBody | VV3_SideTruckAnimationV1,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,On the fence,,VHK10_MovesStartingAt1597 | VB1_NoBody | VV3_SideTruckAnimationV1,"$1,449.98",16,$90.62,14,$103.57,4,$362.50,1,"$1,449.98",1,"$1,449.98",0,#DIV/0!,$0.00,#DIV/0!,0.00,"-$1,449.98",2.40%,2.15%,$71.84,"20,183",485,433,,,,,,,,,,,,,,,,,,,,,
